                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,5.8351,6.473,4.1555,0,0,0,0,6.3615,5.8912,4.1849,0.000325,0.000325,0.000325
2,4.751,5.1232,3.5497,0,0,0,0,6.4934,6.1453,4.5403,0.00065752,0.00065752,0.00065752
3,3.7941,4.1851,2.8864,0,0,0,0,6.5753,6.5336,4.9045,0.00098921,0.00098921,0.00098921
4,3.4695,3.8425,2.4843,0.00473,0.36161,0.01527,0.00419,3.4351,3.6291,2.4621,0.00099629,0.00099629,0.00099629
5,3.2085,3.6194,2.2832,0.42034,0.05747,0.03776,0.00919,3.0906,3.3498,2.3425,0.00099505,0.00099505,0.00099505
6,2.9364,3.2691,2.1207,0.44713,0.10388,0.07212,0.02196,2.76,3.2384,2.1339,0.00099381,0.00099381,0.00099381
7,2.6957,2.9701,1.9166,0.31352,0.13818,0.13779,0.05416,2.3417,2.903,1.9042,0.00099258,0.00099258,0.00099258
8,2.526,2.8171,1.8618,0.83533,0.14335,0.1725,0.05943,2.2974,2.7219,1.8761,0.00099134,0.00099134,0.00099134
9,2.3871,2.6659,1.7692,0.55059,0.18286,0.20501,0.09284,2.1434,2.5518,1.7457,0.0009901,0.0009901,0.0009901
10,2.214,2.5442,1.6861,0.71548,0.20257,0.24341,0.11979,1.9751,2.4765,1.6733,0.00098886,0.00098886,0.00098886
11,2.1287,2.4569,1.6457,0.33729,0.27482,0.2767,0.13636,1.9333,2.2644,1.6133,0.00098763,0.00098763,0.00098763
12,2.0872,2.3682,1.6113,0.5745,0.27728,0.28468,0.14534,1.8295,2.2328,1.5418,0.00098639,0.00098639,0.00098639
13,2.0393,2.3273,1.5642,0.63501,0.25132,0.28751,0.15176,1.7856,2.148,1.5155,0.00098515,0.00098515,0.00098515
14,1.9744,2.2561,1.5053,0.45793,0.27906,0.29854,0.14777,1.7842,2.1438,1.5119,0.00098391,0.00098391,0.00098391
15,1.9094,2.2174,1.51,0.51612,0.32518,0.32424,0.15982,1.7682,2.0597,1.4945,0.00098268,0.00098268,0.00098268
16,1.9088,2.1885,1.4921,0.47921,0.32265,0.32432,0.16385,1.7777,2.0444,1.4991,0.00098144,0.00098144,0.00098144
17,1.8808,2.1431,1.4757,0.48532,0.34527,0.32816,0.16103,1.6877,2.0227,1.4504,0.0009802,0.0009802,0.0009802
18,1.8196,2.1058,1.4298,0.65408,0.29091,0.33213,0.16866,1.7256,1.9826,1.4686,0.00097896,0.00097896,0.00097896
19,1.8254,2.0739,1.4315,0.54059,0.33873,0.34451,0.18261,1.6291,2.0141,1.411,0.00097773,0.00097773,0.00097773
20,1.7953,2.0486,1.4286,0.52716,0.39735,0.35704,0.19008,1.5932,1.9853,1.3848,0.00097649,0.00097649,0.00097649
21,1.7297,1.9703,1.3783,0.53764,0.36712,0.35984,0.1827,1.6796,1.888,1.4122,0.00097525,0.00097525,0.00097525
22,1.7545,1.9715,1.3909,0.64311,0.32693,0.37046,0.20528,1.5826,1.829,1.3631,0.00097401,0.00097401,0.00097401
23,1.7322,1.9598,1.3825,0.52336,0.35948,0.36779,0.20247,1.5768,1.8688,1.3837,0.00097278,0.00097278,0.00097278
24,1.7344,1.9747,1.3767,0.56814,0.38253,0.36805,0.1954,1.6023,1.9169,1.3801,0.00097154,0.00097154,0.00097154
25,1.7235,1.9812,1.3587,0.49731,0.37966,0.37367,0.20814,1.5697,1.82,1.3651,0.0009703,0.0009703,0.0009703
26,1.6698,1.8999,1.353,0.52523,0.39175,0.38701,0.21596,1.5296,1.7822,1.3448,0.00096906,0.00096906,0.00096906
27,1.6605,1.8671,1.3291,0.64604,0.38365,0.4037,0.23063,1.4988,1.7441,1.3257,0.00096783,0.00096783,0.00096783
28,1.6297,1.8717,1.3287,0.53102,0.40813,0.39426,0.21723,1.5317,1.7466,1.3421,0.00096659,0.00096659,0.00096659
29,1.6483,1.8965,1.3079,0.54739,0.40063,0.40234,0.22456,1.5021,1.7386,1.3188,0.00096535,0.00096535,0.00096535
30,1.6666,1.8908,1.3466,0.52138,0.40813,0.39694,0.22362,1.4678,1.7722,1.3074,0.00096411,0.00096411,0.00096411
31,1.6362,1.8499,1.3112,0.6259,0.37556,0.38805,0.21143,1.545,1.8317,1.3586,0.00096288,0.00096288,0.00096288
32,1.609,1.7951,1.3189,0.57338,0.43457,0.41207,0.23433,1.4537,1.8054,1.2882,0.00096164,0.00096164,0.00096164
33,1.6023,1.8218,1.2981,0.59799,0.40577,0.41183,0.23954,1.4339,1.7286,1.2816,0.0009604,0.0009604,0.0009604
34,1.5814,1.7882,1.2842,0.57633,0.41481,0.4142,0.23114,1.4784,1.6734,1.3011,0.00095916,0.00095916,0.00095916
35,1.5946,1.7948,1.2776,0.62983,0.39386,0.41364,0.22443,1.5235,1.7054,1.3221,0.00095793,0.00095793,0.00095793
36,1.5655,1.7592,1.2952,0.64675,0.40887,0.42718,0.24447,1.4322,1.6719,1.2756,0.00095669,0.00095669,0.00095669
37,1.5491,1.7272,1.2727,0.58323,0.46351,0.43451,0.2538,1.429,1.6113,1.2729,0.00095545,0.00095545,0.00095545
38,1.5345,1.7659,1.2691,0.61123,0.44323,0.4426,0.26071,1.3756,1.6018,1.2496,0.00095421,0.00095421,0.00095421
39,1.5272,1.736,1.2744,0.63638,0.41011,0.43864,0.25578,1.4479,1.6193,1.2877,0.00095298,0.00095298,0.00095298
40,1.5683,1.7187,1.2783,0.59687,0.46583,0.43253,0.25435,1.3806,1.7294,1.2507,0.00095174,0.00095174,0.00095174
41,1.5277,1.7479,1.2502,0.56298,0.44563,0.43371,0.25807,1.3648,1.6265,1.2421,0.0009505,0.0009505,0.0009505
42,1.5169,1.6954,1.2529,0.6084,0.4486,0.43856,0.26105,1.4045,1.6081,1.2556,0.00094926,0.00094926,0.00094926
43,1.5011,1.6925,1.234,0.62213,0.45307,0.45319,0.26815,1.3957,1.5721,1.2628,0.00094803,0.00094803,0.00094803
44,1.5092,1.6517,1.2493,0.59486,0.45409,0.44503,0.25865,1.4161,1.5754,1.2698,0.00094679,0.00094679,0.00094679
45,1.5031,1.6993,1.255,0.60016,0.47398,0.46033,0.2713,1.3582,1.5403,1.2377,0.00094555,0.00094555,0.00094555
46,1.5052,1.6669,1.2396,0.57515,0.47025,0.4467,0.26475,1.4016,1.5839,1.2657,0.00094431,0.00094431,0.00094431
47,1.4879,1.6636,1.2464,0.57979,0.49458,0.46329,0.27428,1.3389,1.5327,1.2252,0.00094308,0.00094308,0.00094308
48,1.5116,1.6577,1.2461,0.60022,0.49286,0.4575,0.25975,1.4036,1.7053,1.2625,0.00094184,0.00094184,0.00094184
49,1.491,1.6586,1.2534,0.66505,0.43856,0.46944,0.27374,1.3613,1.5622,1.2422,0.0009406,0.0009406,0.0009406
50,1.4884,1.6296,1.2541,0.63143,0.50573,0.48356,0.29018,1.3293,1.5271,1.2244,0.00093936,0.00093936,0.00093936
51,1.5036,1.6385,1.2309,0.6227,0.48898,0.4853,0.2768,1.3882,1.4953,1.2435,0.00093813,0.00093813,0.00093813
52,1.468,1.6153,1.2366,0.65288,0.4678,0.47011,0.26522,1.3917,1.5362,1.2436,0.00093689,0.00093689,0.00093689
53,1.4706,1.6028,1.2258,0.66022,0.51798,0.49652,0.28568,1.3676,1.5464,1.2364,0.00093565,0.00093565,0.00093565
54,1.4576,1.6138,1.2279,0.63985,0.51936,0.5038,0.30295,1.3051,1.4642,1.2019,0.00093441,0.00093441,0.00093441
55,1.4564,1.5948,1.2252,0.63294,0.52377,0.49877,0.29882,1.3046,1.5462,1.2083,0.00093317,0.00093317,0.00093317
56,1.4341,1.5672,1.1995,0.66915,0.47931,0.49677,0.303,1.3016,1.4437,1.2027,0.00093194,0.00093194,0.00093194
57,1.4214,1.5868,1.2019,0.65177,0.48714,0.49601,0.29275,1.3006,1.4995,1.1993,0.0009307,0.0009307,0.0009307
58,1.4412,1.574,1.2028,0.64382,0.49811,0.49733,0.29548,1.3361,1.4532,1.2174,0.00092946,0.00092946,0.00092946
59,1.4212,1.5567,1.2027,0.60902,0.51176,0.4899,0.29824,1.3427,1.4386,1.2224,0.00092822,0.00092822,0.00092822
60,1.4385,1.5585,1.2054,0.61876,0.51296,0.5081,0.30571,1.2935,1.4578,1.1972,0.00092699,0.00092699,0.00092699
61,1.4171,1.555,1.1897,0.7005,0.47189,0.51315,0.30308,1.3148,1.4707,1.2074,0.00092575,0.00092575,0.00092575
62,1.4161,1.5694,1.209,0.65419,0.49566,0.50427,0.30797,1.2663,1.4377,1.1797,0.00092451,0.00092451,0.00092451
